"","Term","Frequency"
"13","action",255
"24","any",144
"29","applicative",115
"26","class",120
"22","constructor",147
"23","context",146
"27","expression",119
"15","file",197
"1","function",1594
"25","functor",129
"16","haskell",189
"14","I/O",253
"10","instance",292
"6","just",573
"3","list",1207
"28","map",118
"20","monad",150
"19","name",157
"9","number",363
"11","parameter",281
"17","pattern",181
"21","program",148
"7","result",484
"8","return",389
"18","string",167
"5","take",675
"12","tree",258
"2","type",1220
"4","value",1040
"30","where",106
